Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
REQUEST_HTTP,179143,1106,1300,1386,1479,1610,202,1995,0.000%,888.09074,562.86,456.19
TOTAL,179143,1106,1300,1386,1479,1610,202,1995,0.000%,888.09074,562.86,456.19
