Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
REQUEST_HTTP,178619,553,626,667,695,847,202,2777,0.000%,889.54128,563.57,456.93
TOTAL,178619,553,626,667,695,847,202,2777,0.000%,889.54128,563.57,456.93
